Transaction Date,Description,Debit,Credit,Category
01/01/2025,Opening Balance,,0,
03/01/2025,Swiggy Food Delivery,450,,Dining & Restaurants
05/01/2025,Amazon.in Purchase,2999,,Shopping
07/01/2025,Spotify Premium,119,,Subscriptions
10/01/2025,Uber Trip,220,,Transportation
12/01/2025,Payment Received - Cashback,,150,Income
15/01/2025,Zomato Order,680,,Dining & Restaurants
18/01/2025,BookMyShow Tickets,500,,Entertainment
20/01/2025,Myntra Shopping,1799,,Shopping
22/01/2025,Mobile Recharge,599,,Utilities
25/01/2025,Payment Thank You,,5000,Income
28/01/2025,Pharmacy Purchase,350,,Healthcare
30/01/2025,Fuel Station,1800,,Transportation
